Gene	# disorder	gene size	disorder / size
>lcl|NC_000913.3_cds_NP_415623.1_1095	82	215	0.381395349
>lcl|NC_000913.3_cds_NP_416100.1_1603	43	115	0.373913043
>lcl|NC_000913.3_cds_NP_418363.1_3894	31	83	0.373493976
>lcl|NC_000913.3_cds_NP_417118.1_2638	33	89	0.370786517
>lcl|NC_000913.3_cds_NP_417637.1_3157	329	892	0.368834081
>lcl|NC_000913.3_cds_NP_417514.4_3033	36	98	0.367346939
>lcl|NC_000913.3_cds_NP_414832.2_301	37	101	0.366336634
>lcl|NC_000913.3_cds_NP_414907.2_373	37	101	0.366336634
>lcl|NC_000913.3_cds_NP_415072.2_539	37	101	0.366336634
>lcl|NC_000913.3_cds_NP_415546.2_1021	37	101	0.366336634
>lcl|NC_000913.3_cds_NP_416592.2_2104	37	101	0.366336634
>lcl|NC_000913.3_cds_NP_416584.4_2097	41	112	0.366071429
>lcl|NC_000913.3_cds_NP_418070.6_3595	154	421	0.365795724
>lcl|NC_000913.3_cds_NP_415591.1_1063	51	140	0.364285714
>lcl|NC_000913.3_cds_NP_415815.1_1305	68	187	0.363636364
>lcl|NC_000913.3_cds_NP_417134.2_2656	553	1528	0.361910995
>lcl|NC_000913.3_cds_NP_415753.1_1236	50	139	0.35971223
>lcl|NC_000913.3_cds_NP_417921.1_3441	179	499	0.358717435
>lcl|NC_000913.3_cds_NP_414829.1_295	27	77	0.350649351
>lcl|NC_000913.3_cds_NP_416103.2_1606	36	103	0.349514563
>lcl|NC_000913.3_cds_NP_416448.1_1960	193	554	0.348375451
>lcl|NC_000913.3_cds_NP_418143.2_3671	39	112	0.348214286
>lcl|NC_000913.3_cds_NP_418495.2_4026	66	190	0.347368421
>lcl|NC_000913.3_cds_232	58	168	0.345238095
>lcl|NC_000913.3_cds_NP_417076.1_2597	119	347	0.342939481
>lcl|NC_000913.3_cds_NP_415628.1_1100	61	181	0.337016575
>lcl|NC_000913.3_cds_NP_416172.1_1677	92	273	0.336996337
>lcl|NC_000913.3_cds_NP_416860.4_2373	41	122	0.336065574
>lcl|NC_000913.3_cds_NP_415866.1_1360	290	868	0.334101382
>lcl|NC_000913.3_cds_NP_415864.1_1358	22	66	0.333333333
>lcl|NC_000913.3_cds_NP_414546.1_5	33	100	0.33
>lcl|NC_000913.3_cds_NP_418603.1_4138	77	234	0.329059829
>lcl|NC_000913.3_cds_NP_417760.1_3279	48	146	0.328767123
>lcl|NC_000913.3_cds_1414	664	2022	0.328387735
>lcl|NC_000913.3_cds_NP_416897.2_2412	38	116	0.327586207
>lcl|NC_000913.3_cds_NP_418590.1_4125	145	447	0.324384787
>lcl|NC_000913.3_cds_NP_414733.1_192	46	142	0.323943662
>lcl|NC_000913.3_cds_NP_414917.2_382	153	473	0.32346723
>lcl|NC_000913.3_cds_NP_417789.4_3308	41	127	0.322834646
>lcl|NC_000913.3_cds_YP_001165316.1_1249	19	59	0.322033898
>lcl|NC_000913.3_cds_NP_414555.1_14	204	640	0.31875
>lcl|NC_000913.3_cds_YP_026164.1_2012	330	1041	0.317002882
>lcl|NC_000913.3_cds_NP_417104.1_2624	63	199	0.316582915
>lcl|NC_000913.3_cds_NP_416362.1_1873	31	98	0.316326531
>lcl|NC_000913.3_cds_NP_415326.1_796	241	762	0.316272966
>lcl|NC_000913.3_cds_NP_418621.5_4156	42	133	0.315789474
>lcl|NC_000913.3_cds_NP_414643.1_101	21	67	0.313432836
>lcl|NC_000913.3_cds_NP_416403.1_1915	97	310	0.312903226
>lcl|NC_000913.3_cds_NP_416192.1_1698	25	80	0.3125
>lcl|NC_000913.3_cds_NP_417523.1_3042	173	555	0.311711712
>lcl|NC_000913.3_cds_NP_416463.4_1975	24	77	0.311688312
>lcl|NC_000913.3_cds_NP_417050.1_2569	74	239	0.309623431
>lcl|NC_000913.3_cds_NP_416245.2_1752	25	82	0.304878049
>lcl|NC_000913.3_cds_NP_417929.4_3449	57	187	0.304812834
>lcl|NC_000913.3_cds_NP_417496.1_3014	40	132	0.303030303
>lcl|NC_000913.3_cds_NP_418106.1_3631	28	93	0.301075269
>lcl|NC_000913.3_cds_NP_415486.4_957	32	107	0.299065421
>lcl|NC_000913.3_cds_NP_416433.1_1947	149	500	0.298
>lcl|NC_000913.3_cds_NP_417807.1_3326	22	74	0.297297297
>lcl|NC_000913.3_cds_NP_417797.1_3316	267	899	0.296996663
>lcl|NC_000913.3_cds_NP_416858.1_2371	49	166	0.295180723
>lcl|NC_000913.3_cds_NP_415255.1_724	120	407	0.294840295
>lcl|NC_000913.3_cds_NP_417851.4_3370	40	136	0.294117647
>lcl|NC_000913.3_cds_NP_417801.1_3320	37	126	0.293650794
>lcl|NC_000913.3_cds_NP_417700.2_3220	39	134	0.291044776
>lcl|NC_000913.3_cds_NP_415820.1_1310	65	224	0.290178571
>lcl|NC_000913.3_cds_NP_415386.1_857	50	173	0.289017341
>lcl|NC_000913.3_cds_YP_009518797.1_2018	19	66	0.287878788
>lcl|NC_000913.3_cds_NP_414687.1_145	44	153	0.287581699
>lcl|NC_000913.3_cds_NP_418094.1_3619	23	80	0.2875
>lcl|NC_000913.3_cds_NP_417652.1_3172	25	87	0.287356322
>lcl|NC_000913.3_cds_NP_415269.1_739	50	175	0.285714286
>lcl|NC_000913.3_cds_NP_414714.1_172	53	187	0.28342246
>lcl|NC_000913.3_cds_NP_416089.1_1591	15	53	0.283018868
>lcl|NC_000913.3_cds_NP_418102.2_3627	78	276	0.282608696
>lcl|NC_000913.3_cds_NP_415877.1_1370	81	287	0.282229965
>lcl|NC_000913.3_cds_NP_415798.2_1285	31	110	0.281818182
>lcl|NC_000913.3_cds_NP_417569.1_3090	29	103	0.281553398
>lcl|NC_000913.3_cds_1468	192	684	0.280701754
>lcl|NC_000913.3_cds_NP_416824.1_2338	93	333	0.279279279
>lcl|NC_000913.3_cds_NP_417386.1_2905	31	111	0.279279279
>lcl|NC_000913.3_cds_NP_415593.1_1065	65	233	0.278969957
>lcl|NC_000913.3_cds_NP_415674.1_1148	56	202	0.277227723
>lcl|NC_000913.3_cds_NP_417642.1_3162	31	112	0.276785714
>lcl|NC_000913.3_cds_YP_588440.1_558	17	62	0.274193548
>lcl|NC_000913.3_cds_YP_009518778.1_1378	94	344	0.273255814
>lcl|NC_000913.3_cds_NP_416945.2_2461	74	271	0.273062731
>lcl|NC_000913.3_cds_YP_009029995.1_808	12	44	0.272727273
>lcl|NC_000913.3_cds_NP_416054.1_1550	36	132	0.272727273
>lcl|NC_000913.3_cds_NP_417631.2_3150	172	631	0.272583201
>lcl|NC_000913.3_cds_NP_418373.1_3904	29	107	0.271028037
>lcl|NC_000913.3_cds_NP_415116.1_589	199	748	0.266042781
>lcl|NC_000913.3_cds_NP_414976.1_441	33	125	0.264
>lcl|NC_000913.3_cds_NP_418093.1_3618	15	57	0.263157895
>lcl|NC_000913.3_cds_NP_414790.1_255	101	385	0.262337662
>lcl|NC_000913.3_cds_NP_415922.1_1417	101	385	0.262337662
>lcl|NC_000913.3_cds_NP_418704.1_4235	101	385	0.262337662
>lcl|NC_000913.3_cds_NP_416466.1_1978	16	62	0.258064516
>lcl|NC_000913.3_cds_NP_414814.1_280	38	148	0.256756757
>lcl|NC_000913.3_cds_NP_418793.1_4329	52	203	0.256157635
>lcl|NC_000913.3_cds_NP_416970.1_2488	74	289	0.256055363
>lcl|NC_000913.3_cds_NP_416307.1_1814	22	86	0.255813953
>lcl|NC_000913.3_cds_NP_416193.1_1699	85	336	0.25297619
>lcl|NC_000913.3_cds_2650	23	91	0.252747253
>lcl|NC_000913.3_cds_NP_417766.1_3285	26	103	0.252427184
>lcl|NC_000913.3_cds_NP_417716.1_3236	93	369	0.25203252
>lcl|NC_000913.3_cds_YP_009518772.1_1302	14	56	0.25
>lcl|NC_000913.3_cds_NP_414931.1_396	261	1050	0.248571429
>lcl|NC_000913.3_cds_NP_416494.1_2003	77	312	0.246794872
>lcl|NC_000913.3_cds_NP_414680.4_138	47	191	0.246073298
>lcl|NC_000913.3_cds_NP_417667.1_3187	46	187	0.245989305
>lcl|NC_000913.3_cds_NP_415318.1_788	112	456	0.245614035
>lcl|NC_000913.3_cds_NP_418213.1_3742	28	114	0.245614035
>lcl|NC_000913.3_cds_NP_415270.1_740	65	265	0.245283019
>lcl|NC_000913.3_cds_NP_417775.1_3294	23	94	0.244680851
>lcl|NC_000913.3_cds_YP_026226.4_3507	283	1159	0.244176014
>lcl|NC_000913.3_cds_NP_417088.1_2608	28	115	0.243478261
>lcl|NC_000913.3_cds_NP_418247.1_3777	96	395	0.243037975
>lcl|NC_000913.3_cds_NP_417539.1_3060	149	615	0.242276423
>lcl|NC_000913.3_cds_YP_025308.1_1753	181	755	0.239735099
>lcl|NC_000913.3_cds_NP_417207.1_2723	70	292	0.239726027
>lcl|NC_000913.3_cds_NP_414987.3_452	46	192	0.239583333
>lcl|NC_000913.3_cds_NP_415727.1_1207	50	209	0.23923445
>lcl|NC_000913.3_cds_NP_415003.1_468	154	645	0.23875969
>lcl|NC_000913.3_cds_NP_415968.1_1463	167	702	0.237891738
>lcl|NC_000913.3_cds_2845	39	164	0.237804878
>lcl|NC_000913.3_cds_NP_416298.1_1805	102	429	0.237762238
>lcl|NC_000913.3_cds_NP_417808.1_3327	47	198	0.237373737
>lcl|NC_000913.3_cds_NP_418276.1_3806	113	477	0.236897275
>lcl|NC_000913.3_cds_NP_415030.1_497	338	1428	0.236694678
>lcl|NC_000913.3_cds_NP_416855.1_2368	35	148	0.236486486
>lcl|NC_000913.3_cds_NP_418141.2_3669	34	144	0.236111111
>lcl|NC_000913.3_cds_NP_415556.1_1029	33	140	0.235714286
>lcl|NC_000913.3_cds_NP_417655.1_3175	22	94	0.234042553
>lcl|NC_000913.3_cds_NP_415316.1_786	78	334	0.233532934
>lcl|NC_000913.3_cds_NP_417650.1_3170	91	392	0.232142857
>lcl|NC_000913.3_cds_NP_416395.1_1907	50	216	0.231481481
>lcl|NC_000913.3_cds_NP_417924.1_3444	28	121	0.231404959
>lcl|NC_000913.3_cds_NP_416736.1_2247	286	1252	0.228434505
>lcl|NC_000913.3_cds_NP_417096.1_2616	37	162	0.228395062
>lcl|NC_000913.3_cds_NP_415520.1_994	70	308	0.227272727
>lcl|NC_000913.3_cds_NP_418568.2_4100	27	119	0.226890756
>lcl|NC_000913.3_cds_NP_417092.1_2612	81	358	0.226256983
>lcl|NC_000913.3_cds_NP_417367.1_2885	83	367	0.226158038
>lcl|NC_000913.3_cds_NP_416877.1_2392	21	93	0.225806452
>lcl|NC_000913.3_cds_NP_415594.1_1066	91	404	0.225247525
>lcl|NC_000913.3_cds_NP_415596.1_1068	59	262	0.22519084
>lcl|NC_000913.3_cds_NP_414720.1_178	36	163	0.220858896
>lcl|NC_000913.3_cds_NP_418450.1_3979	18	82	0.219512195
>lcl|NC_000913.3_cds_NP_414818.1_284	161	734	0.219346049
>lcl|NC_000913.3_cds_YP_009518763.1_1132	23	105	0.219047619
>lcl|NC_000913.3_cds_YP_026228.1_3529	48	221	0.21719457
>lcl|NC_000913.3_cds_NP_414752.1_211	57	263	0.216730038
>lcl|NC_000913.3_cds_NP_417757.1_3276	26	120	0.216666667
>lcl|NC_000913.3_cds_NP_416049.1_1545	16	74	0.216216216
>lcl|NC_000913.3_cds_NP_416485.4_1995	509	2360	0.215677966
>lcl|NC_000913.3_cds_NP_415524.1_998	43	200	0.215
>lcl|NC_000913.3_cds_NP_416238.1_1745	21	98	0.214285714
>lcl|NC_000913.3_cds_NP_417271.1_2787	56	262	0.213740458
>lcl|NC_000913.3_cds_NP_415597.1_1069	50	234	0.213675214
>lcl|NC_000913.3_cds_NP_417779.1_3298	45	211	0.213270142
>lcl|NC_000913.3_cds_NP_417071.1_2592	95	446	0.213004484
>lcl|NC_000913.3_cds_NP_415612.1_1084	17	80	0.2125
>lcl|NC_000913.3_cds_NP_418596.1_4131	71	336	0.211309524
>lcl|NC_000913.3_cds_NP_416568.1_2079	130	619	0.210016155
>lcl|NC_000913.3_cds_1238	63	300	0.21
>lcl|NC_000913.3_cds_NP_416310.1_1819	13	62	0.209677419
>lcl|NC_000913.3_cds_NP_417228.1_2744	22	105	0.20952381
>lcl|NC_000913.3_cds_NP_418050.1_3572	288	1379	0.208846991
>lcl|NC_000913.3_cds_NP_417616.1_3135	142	680	0.208823529
>lcl|NC_000913.3_cds_NP_417822.1_3342	40	192	0.208333333
>lcl|NC_000913.3_cds_NP_415538.1_1013	88	425	0.207058824
>lcl|NC_000913.3_cds_NP_415080.1_548	12	58	0.206896552
>lcl|NC_000913.3_cds_NP_417385.4_2904	40	194	0.206185567
>lcl|NC_000913.3_cds_NP_418655.1_4189	38	185	0.205405405
>lcl|NC_000913.3_cds_261	24	117	0.205128205
>lcl|NC_000913.3_cds_NP_416087.1_1589	16	78	0.205128205
>lcl|NC_000913.3_cds_NP_416701.1_2211	33	161	0.204968944
>lcl|NC_000913.3_cds_YP_009518802.1_2248	10	49	0.204081633
>lcl|NC_000913.3_cds_NP_416059.1_1555	14	69	0.202898551
>lcl|NC_000913.3_cds_NP_416400.1_1912	112	555	0.201801802
>lcl|NC_000913.3_cds_NP_414624.1_83	63	315	0.2
>lcl|NC_000913.3_cds_NP_415697.5_1176	22	110	0.2
>lcl|NC_000913.3_cds_YP_026215.2_3368	35	175	0.2
>lcl|NC_000913.3_cds_NP_415715.1_1195	113	567	0.199294533
>lcl|NC_000913.3_cds_NP_417731.1_3250	77	387	0.198966408
>lcl|NC_000913.3_cds_NP_417781.1_3300	28	141	0.19858156
>lcl|NC_000913.3_cds_NP_414556.1_15	75	378	0.198412698
>lcl|NC_000913.3_cds_NP_416355.1_1866	25	126	0.198412698
>lcl|NC_000913.3_cds_NP_418610.4_4145	22	111	0.198198198
>lcl|NC_000913.3_cds_YP_026224.1_3459	280	1413	0.198159943
>lcl|NC_000913.3_cds_NP_417634.1_3154	18	91	0.197802198
>lcl|NC_000913.3_cds_226	50	253	0.197628458
>lcl|NC_000913.3_cds_NP_416165.2_1670	16	81	0.197530864
>lcl|NC_000913.3_cds_NP_415371.1_842	19	97	0.195876289
>lcl|NC_000913.3_cds_YP_026189.1_2966	298	1522	0.195795007
>lcl|NC_000913.3_cds_NP_415683.1_1160	18	92	0.195652174
>lcl|NC_000913.3_cds_YP_588472.1_3689	17	87	0.195402299
>lcl|NC_000913.3_cds_NP_417790.1_3309	38	197	0.192893401
>lcl|NC_000913.3_cds_NP_415653.4_1125	42	219	0.191780822
>lcl|NC_000913.3_cds_NP_414635.1_94	53	278	0.190647482
>lcl|NC_000913.3_cds_NP_418325.4_3856	14	74	0.189189189
>lcl|NC_000913.3_cds_NP_418697.1_4227	21	111	0.189189189
>lcl|NC_000913.3_cds_NP_416025.1_1522	17	90	0.188888889
>lcl|NC_000913.3_cds_NP_417693.3_3213	49	265	0.18490566
>lcl|NC_000913.3_cds_NP_415938.1_1433	101	548	0.184306569
>lcl|NC_000913.3_cds_NP_417787.1_3306	27	147	0.183673469
>lcl|NC_000913.3_cds_NP_415954.2_1448	11	60	0.183333333
>lcl|NC_000913.3_cds_242	4	22	0.181818182
>lcl|NC_000913.3_cds_NP_417507.2_3025	90	495	0.181818182
>lcl|NC_000913.3_cds_NP_415599.1_1071	57	315	0.180952381
>lcl|NC_000913.3_cds_NP_416916.1_2432	55	305	0.180327869
>lcl|NC_000913.3_cds_NP_415738.2_1221	84	466	0.180257511
>lcl|NC_000913.3_cds_NP_418144.3_3672	75	417	0.179856115
>lcl|NC_000913.3_cds_NP_415174.1_647	35	195	0.179487179
>lcl|NC_000913.3_cds_NP_415790.1_1274	155	867	0.178777393
>lcl|NC_000913.3_cds_NP_415561.1_1034	20	112	0.178571429
>lcl|NC_000913.3_cds_NP_416788.1_2302	30	168	0.178571429
>lcl|NC_000913.3_cds_NP_417753.1_3272	23	129	0.178294574
>lcl|NC_000913.3_cds_NP_416831.1_2345	49	276	0.177536232
>lcl|NC_000913.3_cds_NP_415663.1_1135	40	226	0.17699115
>lcl|NC_000913.3_cds_YP_588465.1_2485	12	68	0.176470588
>lcl|NC_000913.3_cds_YP_009518776.1_1372	33	188	0.175531915
>lcl|NC_000913.3_cds_699	84	479	0.175365344
>lcl|NC_000913.3_cds_2011	25	143	0.174825175
>lcl|NC_000913.3_cds_NP_415058.1_524	29	166	0.174698795
>lcl|NC_000913.3_cds_YP_588452.1_1374	11	63	0.174603175
>lcl|NC_000913.3_cds_NP_416268.2_1775	68	390	0.174358974
>lcl|NC_000913.3_cds_NP_418523.1_4055	62	356	0.174157303
>lcl|NC_000913.3_cds_391	20	115	0.173913043
>lcl|NC_000913.3_cds_NP_415443.2_914	41	236	0.173728814
>lcl|NC_000913.3_cds_NP_415229.1_697	243	1399	0.173695497
>lcl|NC_000913.3_cds_NP_414801.1_265	67	386	0.17357513
>lcl|NC_000913.3_cds_NP_414820.1_286	40	231	0.173160173
>lcl|NC_000913.3_cds_NP_417806.1_3325	47	272	0.172794118
>lcl|NC_000913.3_cds_NP_416456.1_1968	24	139	0.172661871
>lcl|NC_000913.3_cds_NP_418674.2_4206	104	606	0.171617162
>lcl|NC_000913.3_cds_NP_415943.4_1437	13	76	0.171052632
>lcl|NC_000913.3_cds_NP_416972.4_2490	59	346	0.170520231
>lcl|NC_000913.3_cds_NP_418711.1_4241	132	776	0.170103093
>lcl|NC_000913.3_cds_NP_416378.1_1890	42	248	0.169354839
>lcl|NC_000913.3_cds_NP_415523.1_997	13	77	0.168831169
>lcl|NC_000913.3_cds_NP_418591.1_4126	104	617	0.168557536
>lcl|NC_000913.3_cds_NP_416660.1_2170	112	665	0.168421053
>lcl|NC_000913.3_cds_NP_417855.4_3374	143	852	0.167840376
>lcl|NC_000913.3_cds_NP_418446.1_3975	49	292	0.167808219
>lcl|NC_000913.3_cds_NP_416370.2_1881	74	442	0.167420814
>lcl|NC_000913.3_cds_NP_417669.1_3189	80	479	0.167014614
>lcl|NC_000913.3_cds_NP_418410.1_3939	24	144	0.166666667
>lcl|NC_000913.3_cds_NP_415411.2_882	34	205	0.165853659
>lcl|NC_000913.3_cds_NP_417151.1_2667	25	151	0.165562914
>lcl|NC_000913.3_cds_NP_415293.1_763	71	429	0.165501166
>lcl|NC_000913.3_cds_NP_416941.1_2457	23	140	0.164285714
>lcl|NC_000913.3_cds_NP_418769.1_4304	87	531	0.163841808
>lcl|NC_000913.3_cds_NP_415785.1_1269	48	293	0.163822526
>lcl|NC_000913.3_cds_4234	57	348	0.163793103
>lcl|NC_000913.3_cds_NP_415566.1_1039	84	513	0.16374269
>lcl|NC_000913.3_cds_NP_414999.1_464	9	55	0.163636364
>lcl|NC_000913.3_cds_NP_415838.1_1329	58	355	0.163380282
>lcl|NC_000913.3_cds_YP_026196.1_3006	121	741	0.163292848
>lcl|NC_000913.3_cds_YP_025303.1_1646	7	43	0.162790698
>lcl|NC_000913.3_cds_NP_416350.4_1861	13	80	0.1625
>lcl|NC_000913.3_cds_NP_417660.1_3180	30	185	0.162162162
>lcl|NC_000913.3_cds_NP_418812.1_4349	35	217	0.161290323
>lcl|NC_000913.3_cds_NP_414637.1_96	62	385	0.161038961
>lcl|NC_000913.3_cds_NP_416942.1_2458	32	199	0.16080402
>lcl|NC_000913.3_cds_NP_416933.4_2449	27	168	0.160714286
>lcl|NC_000913.3_cds_NP_417004.1_2522	73	458	0.159388646
>lcl|NC_000913.3_cds_YP_009518751.1_469	69	433	0.159353349
>lcl|NC_000913.3_cds_2260	10	63	0.158730159
>lcl|NC_000913.3_cds_NP_417527.1_3048	33	208	0.158653846
>lcl|NC_000913.3_cds_NP_418600.4_4135	129	815	0.158282209
>lcl|NC_000913.3_cds_NP_416292.1_1799	22	139	0.158273381
>lcl|NC_000913.3_cds_NP_416438.1_1952	22	139	0.158273381
>lcl|NC_000913.3_cds_NP_416425.1_1939	12	76	0.157894737
>lcl|NC_000913.3_cds_NP_414597.1_55	43	273	0.157509158
>lcl|NC_000913.3_cds_NP_415007.1_473	34	216	0.157407407
